Date,Product,Sales,Region
2023-01-01,Product A,100,North
2023-01-02,Product B,150,South
2023-01-03,Product C,200,East
2023-01-04,Product D,250,West
2023-01-05,Product E,300,North
2023-01-06,Product F,350,South
2023-01-07,Product G,400,East
2023-01-08,Product H,450,West
2023-01-09,Product I,500,North
2023-01-10,Product J,550,South
2023-01-11,Product K,600,East
2023-01-12,Product L,,West
2023-01-13,Product M,,North
2023-01-14,Product N,750,South
2023-01-15,Product O,800,East
2023-01-16,Product P,850,West
2023-01-17,Product Q,,North
2023-01-18,Product R,,South
2023-01-19,Product S,1000,East
2023-01-20,Product T,1050,West
2023-01-21,Product U,1100,North
2023-01-22,Product V,1150,South
2023-01-23,Product W,1200,East
2023-01-24,Product X,1250,West
2023-01-25,Product Y,1300,North
2023-01-26,Product Z,1350,South
2023-01-27,Product AA,1400,East
2023-01-28,Product BB,1450,West
2023-01-29,Product CC,1500,North
2023-01-30,Product DD,1550,South
2023-01-31,Product EE,1600,East
2023-02-01,Product FF,1650,West
2023-02-02,Product GG,1700,North
2023-02-03,Product HH,1750,South
2023-02-04,Product II,1800,East
2023-02-05,Product JJ,1850,West
2023-02-06,Product KK,1900,North
2023-02-07,Product LL,1950,South
2023-02-08,Product MM,2000,East
2023-02-09,Product NN,2050,West
2023-02-10,Product OO,2100,North
2023-02-11,Product PP,2150,South
2023-02-12,Product QQ,2200,East
2023-02-13,Product RR,2250,West
2023-02-14,Product SS,2300,North
2023-02-15,Product TT,2350,South
2023-02-16,Product UU,2400,East
2023-02-17,Product VV,2450,West
2023-02-18,Product WW,2500,North
2023-02-19,Product XX,2550,South
2023-02-20,Product YY,2600,East
2023-02-21,Product ZZ,2650,West
2023-02-22,Product AAA,2700,North
2023-02-23,Product BBB,2750,South
2023-02-24,Product CCC,2800,East
2023-02-25,Product DDD,2850,West
2023-02-26,Product EEE,2900,North
2023-02-27,Product FFF,2950,South
2023-02-28,Product GGG,3000,East
2023-03-01,Product HHH,3050,West
2023-03-02,Product III,3100,North
2023-03-03,Product JJJ,3150,South
2023-03-04,Product KKK,3200,East
2023-03-05,Product LLL,3250,West
2023-03-06,Product MMM,3300,North
2023-03-07,Product NNN,3350,South
2023-03-08,Product OOO,3400,East
2023-03-09,Product PPP,3450,West
2023-03-10,Product QQQ,3500,North
2023-03-11,Product RRR,3550,South
2023-03-12,Product SSS,3600,East
2023-03-13,Product TTT,3650,West
2023-03-14,Product UUU,3700,North
2023-03-15,Product VVV,3750,South
2023-03-16,Product WWW,3800,East
2023-03-17,Product XXX,3850,West
2023-03-18,Product YYY,3900,North
2023-03-19,Product ZZZ,3950,South
2023-03-20,Product AAAA,4000,East
2023-03-21,Product BBBB,4050,West
2023-03-22,Product CCCC,4100,North
2023-03-23,Product DDDD,4150,South
2023-03-24,Product EEEE,4200,East
2023-03-25,Product FFFF,4250,West
2023-03-26,Product GGGG,4300,North
2023-03-27,Product HHHH,4350,South
2023-03-28,Product IIII,4400,East
2023-03-29,Product JJJJ,4450,West
2023-03-30,Product KKKK,4500,North
2023-03-31,Product LLLL,4550,South
